clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,fb1_support_fraction
actual,0.5,moving,CV_surface_all_uncovered,142,14718,1.3934184357183177,1.4037967871098107,3.8734300494205036,0.5599149793348293,0.3076106789027119
actual,0.5,moving,CV_surface_fb1_uncovered,142,14718,0.9000681499604893,0.9090063407353399,2.757881350989196,0.5599149793348293,0.3076106789027119
actual,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.5761811991571152,0.37072272514322063
actual,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.7296340265227822,0.5761811991571152,0.37072272514322063
actual,1.0,all,CRN_CV,366,39975,0.5519909114748445,0.5751559942775551,0.8747040311781276,0.5761811991571152,0.37072272514322063
actual,1.0,all,CV_D_speed05,366,39975,0.501864832474993,0.5250687237832947,0.9443520866871662,0.5761811991571152,0.37072272514322063
actual,1.0,all,surface_all_zero,366,39975,5.830615915987144,5.850726427723789,5.416208457383026,0.5761811991571152,0.37072272514322063
actual,1.0,all,surface_fb1_zero,366,39975,2.9100029788222104,2.9284428263427587,2.1596858350781143,0.5761811991571152,0.37072272514322063
actual,1.0,all,CV_surface_all_uncovered,366,39975,2.0105764696096076,2.0321498468047907,2.4799552726162237,0.5761811991571152,0.37072272514322063
actual,1.0,all,CV_surface_fb1_uncovered,366,39975,0.961994033407791,0.9844503598858371,1.3673405060336796,0.5761811991571152,0.37072272514322063
actual,1.0,stationary,zero,180,18337,0.02509893780165559,0.05482626941543632,0.0,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,D,180,18337,0.09796353829894705,0.12086380343248063,0.09113477438780729,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,CRN_CV,180,18337,0.03443575144882188,0.06323851220862413,0.011180930134919213,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,CV_D_speed05,180,18337,0.03836775898748044,0.06711582166325436,0.01532078513857189,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,surface_all_zero,180,18337,4.549274496807477,4.571290272912997,4.548564633503957,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,surface_fb1_zero,180,18337,1.7074878637150495,1.7325571728177143,1.6971297670436432,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,CV_surface_all_uncovered,180,18337,1.5597697462085585,1.5833058291166435,1.5402857735816273,0.5735823036708838,0.4059089464451614
actual,1.0,stationary,CV_surface_fb1_uncovered,180,18337,0.5250548434269261,0.5521305371417442,0.5042113940914447,0.5735823036708838,0.4059089464451614
actual,1.0,ambiguous,zero,51,9050,0.21746740150770247,0.23819688133581693,0.0,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,D,51,9050,0.2466403688263478,0.26638042478635826,0.11797527066886718,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,CRN_CV,51,9050,0.24678586533409072,0.2675389678358623,0.05822166423247533,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,CV_D_speed05,51,9050,0.25400870703716627,0.27454140424715695,0.06862822911058157,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,surface_all_zero,51,9050,5.752218590683505,5.779721847507387,5.7216103757017045,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,surface_fb1_zero,51,9050,1.8327225979682535,1.852398618571089,1.7164924211198533,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,CV_surface_all_uncovered,51,9050,2.050169295690875,2.0754174725952534,1.912731122285344,0.6367507210524256,0.40284712281884216
actual,1.0,ambiguous,CV_surface_fb1_uncovered,51,9050,0.5636910800406599,0.5841227090919998,0.3960367612140364,0.6367507210524256,0.40284712281884216
actual,1.0,moving,zero,135,12588,3.3009943613200288,3.3079466317381474,0.0,0.5567645737560841,0.3116718798409538
actual,1.0,moving,D,135,12588,1.9597075158398398,1.9712414161032477,1.8120374482475607,0.5567645737560841,0.3116718798409538
actual,1.0,moving,CRN_CV,135,12588,1.3573641422738263,1.3739235136918806,2.3345170600818745,0.5567645737560841,0.3116718798409538
actual,1.0,moving,CV_D_speed05,135,12588,1.2134954667348556,1.2303162473236673,2.5138895016142238,0.5567645737560841,0.3116718798409538
actual,1.0,moving,surface_all_zero,135,12588,7.568687908896966,7.5834652533310445,6.457692831190284,0.5567645737560841,0.3116718798409538
actual,1.0,moving,surface_fb1_zero,135,12588,4.920329053954366,4.929462620645448,2.9438558821749754,0.5567645737560841,0.3116718798409538
actual,1.0,moving,CV_surface_all_uncovered,135,12588,2.596694810958083,2.614262989534812,3.9471326170095744,0.5567645737560841,0.3116718798409538
actual,1.0,moving,CV_surface_fb1_uncovered,135,12588,1.6950496246543045,1.712111680511188,2.8851162922218583,0.5567645737560841,0.3116718798409538
actual,1.5,all,zero,358,38639,1.9247085686338619,1.9517254319590989,0.0,0.5809325540044801,0.3753538512650304
actual,1.5,all,D,358,38639,1.2217340252085351,1.246359612516375,0.7273285025661468,0.5809325540044801,0.3753538512650304
actual,1.5,all,CRN_CV,358,38639,0.8610464838904827,0.8920248706559023,0.8856734782363579,0.5809325540044801,0.3753538512650304
actual,1.5,all,CV_D_speed05,358,38639,0.7829409787032812,0.814040990980416,0.9552175928238377,0.5809325540044801,0.3753538512650304
actual,1.5,all,surface_all_zero,358,38639,8.949651141412296,8.97830671340152,5.464746698780204,0.5809325540044801,0.3753538512650304
actual,1.5,all,surface_fb1_zero,358,38639,4.477754245687075,4.50197446909585,2.193843581375861,0.5809325540044801,0.3753538512650304
actual,1.5,all,CV_surface_all_uncovered,358,38639,3.119914607377197,3.1496063580933824,2.513326037599846,0.5809325540044801,0.3753538512650304
actual,1.5,all,CV_surface_fb1_uncovered,358,38639,1.4952433393996438,1.5250790945210746,1.3835336850222906,0.5809325540044801,0.3753538512650304
actual,1.5,stationary,zero,178,17942,0.04076253103809146,0.08357056512173242,0.0,0.5828329873228555,0.42257521019240335
actual,1.5,stationary,D,178,17942,0.14997599923466848,0.18121105004858168,0.09080173282178781,0.5828329873228555,0.42257521019240335
